lemma,cefr_level,ipa,def_en,source_list
aberration,C2,/ˌæb.əˈreɪ.ʃən/,A departure from what is normal or expected.,chatgpt_c2
abject,C2,/ˈæb.dʒekt/,Extremely bad or lacking dignity.,chatgpt_c2
abjure,C2,/əbˈdʒʊər/,To formally renounce a belief.,chatgpt_c2
abscond,C2,/əbˈskɒnd/,To leave secretly to avoid duty.,chatgpt_c2
abstemious,C2,/əbˈstiː.mi.əs/,Moderate in eating or drinking.,chatgpt_c2
abstruse,C2,/əbˈstruːs/,Difficult to understand because very complex.,chatgpt_c2
accede,C2,/əkˈsiːd/,To agree to a demand.,chatgpt_c2
accretion,C2,/əˈkriː.ʃən/,Gradual accumulation over time.,chatgpt_c2
acerbic,C2,/əˈsɜː.bɪk/,Sharp and biting in tone.,chatgpt_c2
acquiesce,C2,/ˌæk.wiˈes/,To accept something without protest.,chatgpt_c2
acquittal,C2,/əˈkwɪt.əl/,A judgement of not guilty.,chatgpt_c2
adjunct,C2,/ˈæd.dʒʌŋkt/,Something added but not essential.,chatgpt_c2
adroit,C2,/əˈdrɔɪt/,Skilful and clever in handling situations.,chatgpt_c2
adulation,C2,/ˌæd.jʊˈleɪ.ʃən/,Excessive admiration.,chatgpt_c2
adversarial,C2,/ˌæd.vəˈseə.ri.əl/,Involving conflict between sides.,chatgpt_c2
affable,C2,/ˈæf.ə.bəl/,Friendly and easy to talk to.,chatgpt_c2
affinity,C2,/əˈfɪn.ə.ti/,A natural liking or connection.,chatgpt_c2
aggrieved,C2,/əˈɡriːvd/,Feeling unfairly treated.,chatgpt_c2
agitate,C2,/ˈædʒ.ɪ.teɪt/,To disturb or stir up.,chatgpt_c2
alacrity,C2,/əˈlæk.rə.ti/,Willingness and quick enthusiasm.,chatgpt_c2
allegory,C2,/ˈæl.ɪ.ɡər.i/,A story with symbolic meaning.,chatgpt_c2
allude,C2,/əˈluːd/,To refer indirectly.,chatgpt_c2
amalgamate,C2,/əˈmæl.ɡə.meɪt/,To combine into one.,chatgpt_c2
ambivalent,C2,/æmˈbɪv.əl.ənt/,Having mixed feelings about something.,chatgpt_c2
ameliorate,C2,/əˈmiː.li.ə.reɪt/,To make a situation better.,chatgpt_c2
amenable,C2,/əˈmiː.nə.bəl/,Open to suggestion or control.,chatgpt_c2
anachronism,C2,/əˈnæk.rə.nɪz.əm/,Something out of its time.,chatgpt_c2
anachronistic,C2,/əˌnæk.rəˈnɪs.tɪk/,Belonging to a different historical period.,chatgpt_c2
anecdotal,C2,/ˌæn.ɪkˈdəʊ.təl/,Based on personal stories.,chatgpt_c2
animosity,C2,/ˌæn.ɪˈmɒs.ə.ti/,Strong hostility or dislike.,chatgpt_c2
antipathy,C2,/ænˈtɪp.ə.θi/,Strong dislike.,chatgpt_c2
antithetical,C2,/ˌæn.tiˈθet.ɪ.kəl/,Directly opposed in meaning or nature.,chatgpt_c2
appease,C2,/əˈpiːz/,To calm someone by giving concessions.,chatgpt_c2
arbiter,C2,/ˈɑː.bɪ.tər/,A person who settles disputes.,chatgpt_c2
arcane,C2,/ɑːˈkeɪn/,Known or understood by very few people.,chatgpt_c2
arduous,C2,/ˈɑː.dʒu.əs/,Difficult and requiring great effort.,chatgpt_c2
ascertain,C2,/ˌæs.əˈteɪn/,To find out for certain.,chatgpt_c2
aspersion,C2,/əˈspɜː.ʃən/,A damaging remark.,chatgpt_c2
assiduous,C2,/əˈsɪdʒ.u.əs/,Showing great care and persistence.,chatgpt_c2
assimilate,C2,/əˈsɪm.ɪ.leɪt/,To absorb information.,chatgpt_c2
assuage,C2,/əˈsweɪdʒ/,To relieve or calm.,chatgpt_c2
atrophy,C2,/ˈæt.rə.fi/,To weaken from lack of use.,chatgpt_c2
audacious,C2,/ɔːˈdeɪ.ʃəs/,Bold and daring.,chatgpt_c2
augment,C2,/ɔːɡˈment/,To increase.,chatgpt_c2
auspicious,C2,/ɔːˈspɪʃ.əs/,Favourable or promising.,chatgpt_c2
austere,C2,/ɒˈstɪər/,Plain and severe in style or manner.,chatgpt_c2
autocratic,C2,/ˌɔː.təˈkræt.ɪk/,Ruling with absolute power.,chatgpt_c2
avarice,C2,/ˈæv.ər.ɪs/,Extreme greed.,chatgpt_c2
axiomatic,C2,/ˌæk.si.əˈmæt.ɪk/,Self evident.,chatgpt_c2
banal,C2,/bəˈnɑːl/,So common as to be boring.,chatgpt_c2
belie,C2,/bɪˈlaɪ/,To give a false impression.,chatgpt_c2
belligerent,C2,/bəˈlɪdʒ.ər.ənt/,Hostile and ready to argue or fight.,chatgpt_c2
benevolent,C2,/bəˈnev.əl.ənt/,Kind and wanting to help others.,chatgpt_c2
benign,C2,/bɪˈnaɪn/,Gentle or not harmful.,chatgpt_c2
bolster,C2,/ˈbəʊl.stər/,To support or strengthen something.,chatgpt_c2
bombastic,C2,/bɒmˈbæs.tɪk/,Using grand language with little meaning.,chatgpt_c2
burgeon,C2,/ˈbɜː.dʒən/,To grow or develop quickly.,chatgpt_c2
cacophony,C2,/kəˈkɒf.ə.ni/,A harsh mixture of loud sounds.,chatgpt_c2
