lemma,cefr_level,ipa,def_en,source_list
a,A1,/ə/,Used for an unspecified thing.,langeek_a1
above,A1,/əˈbʌv/,Higher than something.,langeek_a1
across,A1,/əˈkrɔːs/,On the other side of something.,langeek_a1
actor,A1,/ˈæk.tɚ/,A person who performs in movies or plays.,langeek_a1
actress,A1,/ˈæk.trɪs/,A woman who performs in movies or plays.,langeek_a1
add,A1,/æd/,To combine things together.,langeek_a1
adult,A1,/əˈdʌlt/,A fully grown man or woman.,langeek_a1
africa,A1,/ˈæ.frɪ.kə/,The second largest continent.,langeek_a1
african,A1,/ˈæ.frɪ.kən/,Related to Africa or its people.,langeek_a1
after,A1,/ˈæf.tɚ/,Later than something.,langeek_a1
afternoon,A1,/ˌæftɚˈnuːn/,The time of day between noon and sunset.,langeek_a1
again,A1,/əˈɡɛn/,One more time.,langeek_a1
airplane,A1,/ˈɛr.pleɪn/,A flying vehicle with wings.,langeek_a1
airport,A1,/ˈɛr.pɔːrt/,A place for planes to take off and land.,langeek_a1
always,A1,/ˈɔːl.weɪz/,"At all times, no exceptions.",langeek_a1
american,A1,/əˈmɛ.rɪ.kən/,Relating to the U.S. or its people.,langeek_a1
angry,A1,/ˈæŋ.ɡri/,Feeling very annoyed.,langeek_a1
animal,A1,/ˈæn.ɪ.məl/,A living thing that moves and needs food.,langeek_a1
another,A1,/əˈnʌ.ðɚ/,One more of the same kind.,langeek_a1
answer,A1,/ˈæn.sɚ/,"Something we say, write, or do when replying to a question.",langeek_a1
apartment,A1,/əˈpɑːrt.mənt/,A living space in a larger building.,langeek_a1
apple,A1,/ˈæ.pəl/,"A round fruit with red, yellow, or green skin.",langeek_a1
april,A1,/ˈeɪ.prəl/,"The fourth month of the year, after March and before May.",langeek_a1
asia,A1,/ˈeɪ.ʒə/,The largest continent.,langeek_a1
asian,A1,/ˈeɪ.ʒən/,Related to Asia or its people.,langeek_a1
ask,A1,/æsk/,To request information.,langeek_a1
at,A1,/æt/,Showing place or time.,langeek_a1
august,A1,/ˈɔː.gəst/,"The eighth month of the year, after July and before September.",langeek_a1
aunt,A1,/ænt/,or /ɑːnt/ A parent’s sister or their wife.,langeek_a1
baby,A1,/ˈbeɪbi/,"A child who is very young, usually too young to walk or speak.",langeek_a1
back,A1,/bæk/,The part of our body between the neck and legs that we cannot see.,langeek_a1
bad,A1,/bæd/,Having a quality that is not satisfying; morally unacceptable.,langeek_a1
bag,A1,/bæɡ/,A container used to carry things.,langeek_a1
